year,state_name,total_agencies,participating_agencies,participation_pct,nibrs_participating_agencies,nibrs_participation_pct,covered_agencies,covered_pct,total_population,nibrs_participating_population
1981,Connecticut,112,93,83.04,6,5.36,8,7.14,3209430,2437871
1981,Delaware,58,56,96.55,2,3.45,2,3.45,598000,598000
1981,District of Columbia,3,2,66.67,0,0.00,0,0.00,636000,636000
1981,Florida,719,701,97.50,29,4.03,29,4.03,10242064,10202983
1981,Georgia,524,263,50.19,5,0.95,5,0.95,5600401,4790349
1981,Guam,1,0,0.00,0,0.00,0,0.00,86926,0
1981,Hawaii,14,14,100.00,9,64.29,9,64.29,1026095,1026095
1981,Idaho,112,108,96.43,11,9.82,11,9.82,980821,951216
1981,Illinois,781,532,68.12,31,3.97,38,4.87,11494936,10528492
1981,Indiana,340,250,73.53,2,0.59,5,1.47,5479361,4220556
1981,Iowa,229,179,78.17,2,0.87,4,1.75,2905854,2383522
1981,Kansas,256,240,93.75,16,6.25,16,6.25,2410957,2342795
1981,Kentucky,483,421,87.16,10,2.07,13,2.69,3673284,3068483
1981,Louisiana,181,113,62.43,6,3.31,8,4.42,4322753,3407125
1981,Maine,135,134,99.26,5,3.70,5,3.70,1139937,1139937
1981,Maryland,176,153,86.93,11,6.25,11,6.25,4336685,4174383
1981,Massachusetts,413,264,63.92,2,0.48,2,0.48,5774998,4514164
1981,Michigan,749,641,85.58,83,11.08,86,11.48,9370270,8878730
1981,Minnesota,291,286,98.28,6,2.06,6,2.06,4101608,4090485
1981,Mississippi,206,76,36.89,0,0.00,0,0.00,2530000,1206340
1981,Missouri,304,209,68.75,12,3.95,18,5.92,5009973,4061003
1981,Montana,102,7,6.86,0,0.00,8,7.84,805348,59175
1981,Nebraska,226,133,58.85,12,5.31,20,8.85,1604413,1387141
1981,Nevada,34,24,70.59,1,2.94,2,5.88,850170,775508
1981,New Hampshire,228,155,67.98,72,31.58,92,40.35,1052614,774481
1981,New Jersey,602,513,85.22,4,0.66,4,0.66,7404654,7384387
1981,New Mexico,109,52,47.71,4,3.67,4,3.67,1328937,972003
1981,New York,984,794,80.69,91,9.25,97,9.86,18809745,16353774
1981,North Carolina,663,380,57.32,2,0.30,3,0.45,5956122,5760662
1981,North Dakota,82,80,97.56,4,4.88,4,4.88,662940,661586
1981,Ohio,565,409,72.39,33,5.84,50,8.85,11009899,9285602
1981,Oklahoma,322,247,76.71,20,6.21,26,8.07,3125799,2783637
1981,Oregon,270,237,87.78,8,2.96,8,2.96,2652767,2617641
1981,Pennsylvania,1316,1168,88.75,97,7.37,101,7.67,12075312,11611805
1981,Puerto Rico,1,0,0.00,0,0.00,0,0.00,3045000,0
1981,Rhode Island,53,44,83.02,1,1.89,1,1.89,956539,952000
1981,South Carolina,309,211,68.28,46,14.89,48,15.53,3225026,3131945
1981,South Dakota,98,48,48.98,1,1.02,8,8.16,694028,463794
1981,Tennessee,289,197,68.17,3,1.04,4,1.38,4624368,3783641
1981,Texas,777,747,96.14,27,3.47,27,3.47,14893468,13126002
1981,Utah,119,104,87.39,8,6.72,8,6.72,1539164,1430024
1981,Vermont,47,16,34.04,10,21.28,11,23.40,518784,226660
1981,Virginia,411,399,97.08,3,0.73,3,0.73,5428769,4847681
1981,Washington,196,144,73.47,4,2.04,6,3.06,4225712,3232151
1981,West Virginia,368,282,76.63,7,1.90,8,2.17,1954521,1650449
1981,Wisconsin,285,204,71.58,5,1.75,11,3.86,4769913,3305003
1981,Wyoming,68,60,88.24,0,0.00,0,0.00,492000,458404
1980,Alabama,384,305,79.43,21,5.47,26,6.77,3881325,3682018
1980,Alaska,26,22,84.62,1,3.85,1,3.85,438869,436364
1980,Arizona,93,92,98.92,2,2.15,2,2.15,2725962,2713490
1980,Arkansas,213,183,85.92,0,0.00,0,0.00,2284037,2136418
1980,California,608,595,97.86,21,3.45,21,3.45,23644324,23561339
1980,Canal Zone,1,0,0.00,0,0.00,0,0.00,44650,0
1980,Colorado,241,100,41.49,3,1.24,5,2.07,2896033,2015274
1980,Connecticut,112,100,89.29,6,5.36,8,7.14,3171744,2664569
1980,Delaware,58,55,94.83,1,1.72,2,3.45,594779,535213
1980,District of Columbia,3,2,66.67,0,0.00,0,0.00,635233,635233
1980,Florida,718,709,98.75,26,3.62,26,3.62,9633870,9628488
1980,Georgia,522,255,48.85,4,0.77,4,0.77,5431039,4526520
1980,Guam,1,0,0.00,0,0.00,0,0.00,86926,0
1980,Hawaii,14,14,100.00,9,64.29,9,64.29,1011103,1011103
1980,Idaho,111,108,97.30,8,7.21,8,7.21,960309,955329
1980,Illinois,769,469,60.99,25,3.25,31,4.03,11392481,10259733
1980,Indiana,340,244,71.76,1,0.29,4,1.18,5474534,4119301
1980,Iowa,229,191,83.41,4,1.75,4,1.75,2916690,2422161
1980,Kansas,251,231,92.03,18,7.17,18,7.17,2388998,2322639
1980,Kentucky,480,474,98.75,12,2.50,12,2.50,3653024,3651305
